AOH	AOH	Allen County Airport	Lima	OH	US	404600N	0840600W	1	A
AOI	AOI	Falconara Airport	Ancona		IT	433700N	0132137E	0	A
AOJ	AOJ	Aomori Airport	Aomori		JP	404400N	1404200E	0	A
AOK	AOK	Karpathos Airport	Karpathos		GR	352517N	0270846E	0	A
AOL	AOL	Paso de los Libres Airport	Paso de los Libres	CR	AR	294100S	0570900W	0	A
AOM	AOM	Adam Airport	Adam		OM	222950N	0572300E	0	A
AON	AON	Arona Airport	Arona		PG	062000S	1460000E	1	A
AOO	AOO	Altoona Airport	Altoona	PA	US	401750N	0781912W	1	A
AOP	AOP	Alfredo V. Sara Bauer Airport	Andoas		PE	024729S	0762829W	0	A
AOQ	AOQ	Upernanik Heliport	Aappilattoq-Upernavik		GL	724700N	0553000W	1	H
AOR	AOR	Sultan Abdul Halim Airport	Alor Setar		MY	061128N	1002414E	0	A
AOS	AOS	Sea Plane Base Airport	Amook Bay	AK	US	572800N	1535000W	5	S
AOT	AOT	Corrado Gex Airport	Aosta		IT	454419N	0072205E	0	A
AOU	AOU	Attapeu Airport	Attapeu		LA	144800N	1065000E	0	A
APA	DEN	Centennial Airport	Denver	CO	US	393412N	1045057W	3	A
APB	APB	Apolo Airport	Apolo		BO	144300S	0683100W	0	A
APC	APC	Napa County Airport	Napa	CA	US	381244N	1221648W	4	A
APF	APF	Naples Airport	Naples	FL	US	260910N	0814631W	1	A
APG	APG	Phillips Army Air Field	Aberdeen	MD	US	393000N	0761000W	1	M
APH	APH	Camp A P Hill Airport	Bowling Green	VA	US	380300N	0772100W	1	A
API	API	Luis F. Gomez Nino AB	Apiay		CO	040408N	0730307W	0	M
APK	APK	Apataki Airport	Apataki		PF	152500S	1460500W	2	A
APL	APL	Nampula Airport	Nampula		MZ	150606S	0391714E	0	A
APN	APN	Alpena County Regional Airport	Alpena	MI	US	450454N	0833321W	1	A
APO	APO	Carepa - A.R. Betancourt Airport	Apartado		CO	070200N	0771200W	0	A
APP	APP	Asapa Airport	Asapa		PG	085900S	1480800E	1	A
APQ	APQ	Arapiraca Airport	Arapiraca	AL	BR	094500S	0363900W	1A	A
APR	APR	April River Airport	April River		PG	083000S	1450000E	1	A
APS	APS	Anapolis Airport	Anapolis	GO	BR	162000S	0485800W	1	A
APT	APT	Marion County Airport	Jasper	TN	US	350400N	0853000W	2	A
APU	APU	Captain Joao Busse Airport	Apucarana	PR	BR	233300S	0512900W	1	A
